Entity,Code,Year,Renewables (% equivalent primary energy)
Austria,AUT,1990,29.002949
Austria,AUT,1991,27.730646
Austria,AUT,1992,31.117105
Austria,AUT,1993,32.029507
Austria,AUT,1994,31.325548
Austria,AUT,1995,31.42617
Austria,AUT,1996,28.285664
Austria,AUT,1997,29.506138
Austria,AUT,1998,29.778776
Austria,AUT,1999,31.975573
Austria,AUT,2000,32.591774
Austria,AUT,2001,30.667883
Austria,AUT,2002,30.20616
Austria,AUT,2003,25.237972
Austria,AUT,2004,27.274899
Austria,AUT,2005,27.495369
Austria,AUT,2006,28.128284
Austria,AUT,2007,30.249714
Austria,AUT,2008,30.77213
Austria,AUT,2009,33.781616
Austria,AUT,2010,31.314478
Austria,AUT,2011,30.305704
Austria,AUT,2012,35.76177
Austria,AUT,2013,35.3089
Austria,AUT,2014,36.303062
Austria,AUT,2015,34.274372
Austria,AUT,2016,35.3048
Austria,AUT,2017,34.455837
Austria,AUT,2018,34.361984
Austria,AUT,2019,35.472965
Austria,AUT,2020,38.188835
Austria,AUT,2021,35.835052
Austria,AUT,2022,36.06654
Austria,AUT,2023,40.080193
Belgium,BEL,1990,0.27479723
Belgium,BEL,1991,0.25747827
Belgium,BEL,1992,0.29419133
Belgium,BEL,1993,0.24665135
Belgium,BEL,1994,0.2759149
Belgium,BEL,1995,0.3051201
Belgium,BEL,1996,0.24271938
Belgium,BEL,1997,0.25003314
Belgium,BEL,1998,0.31667665
Belgium,BEL,1999,0.36021912
Belgium,BEL,2000,0.433269
Belgium,BEL,2001,0.44920534
Belgium,BEL,2002,0.47973493
Belgium,BEL,2003,0.48671448
Belgium,BEL,2004,0.606298
Belgium,BEL,2005,0.8666806
Belgium,BEL,2006,1.2095445
Belgium,BEL,2007,1.4152513
Belgium,BEL,2008,1.7643934
Belgium,BEL,2009,2.5553334
Belgium,BEL,2010,3.1909645
Belgium,BEL,2011,4.0780997
Belgium,BEL,2012,5.1477056
Belgium,BEL,2013,5.4598446
Belgium,BEL,2014,6.152073
Belgium,BEL,2015,6.7979774
Belgium,BEL,2016,6.4830685
Belgium,BEL,2017,7.0611453
Belgium,BEL,2018,7.538291
Belgium,BEL,2019,8.078669
Belgium,BEL,2020,10.863382
Belgium,BEL,2021,9.544263
Belgium,BEL,2022,10.829778
Belgium,BEL,2023,12.525129
Bulgaria,BGR,1990,1.4857495
Bulgaria,BGR,1991,2.5538871
Bulgaria,BGR,1992,2.2773595
Bulgaria,BGR,1993,2.0045958
Bulgaria,BGR,1994,1.5115008
Bulgaria,BGR,1995,2.3577003
Bulgaria,BGR,1996,3.1407084
Bulgaria,BGR,1997,3.1324148
Bulgaria,BGR,1998,3.669025
Bulgaria,BGR,1999,3.718413
Bulgaria,BGR,2000,3.578958
Bulgaria,BGR,2001,2.159837
Bulgaria,BGR,2002,2.835246
Bulgaria,BGR,2003,3.8543482
Bulgaria,BGR,2004,4.1520047
Bulgaria,BGR,2005,5.2177896
Bulgaria,BGR,2006,5.0039926
Bulgaria,BGR,2007,3.4964986
Bulgaria,BGR,2008,3.587999
Bulgaria,BGR,2009,5.116166
Bulgaria,BGR,2010,7.6581745
Bulgaria,BGR,2011,4.874571
Bulgaria,BGR,2012,7.2071776
Bulgaria,BGR,2013,10.177441
Bulgaria,BGR,2014,10.104898
Bulgaria,BGR,2015,11.299108
Bulgaria,BGR,2016,9.809312
Bulgaria,BGR,2017,8.443123
Bulgaria,BGR,2018,12.588994
Bulgaria,BGR,2019,10.773653
Bulgaria,BGR,2020,11.53778
Bulgaria,BGR,2021,13.715241
Bulgaria,BGR,2022,12.46647
Bulgaria,BGR,2023,15.011163
Croatia,HRV,1990,11.523735
Croatia,HRV,1991,19.537254
Croatia,HRV,1992,15.994586
Croatia,HRV,1993,16.087374
Croatia,HRV,1994,18.960016
Croatia,HRV,1995,19.160814
Croatia,HRV,1996,24.701183
Croatia,HRV,1997,18.543142
Croatia,HRV,1998,18.063107
Croatia,HRV,1999,21.245943
Croatia,HRV,2000,19.766321
Croatia,HRV,2001,20.779488
Croatia,HRV,2002,16.806644
Croatia,HRV,2003,14.887468
Croatia,HRV,2004,19.898252
Croatia,HRV,2005,18.501064
Croatia,HRV,2006,17.52409
Croatia,HRV,2007,12.393234
Croatia,HRV,2008,15.262363
Croatia,HRV,2009,19.716614
Croatia,HRV,2010,23.851255
Croatia,HRV,2011,15.510488
Croatia,HRV,2012,16.895237
Croatia,HRV,2013,26.756195
Croatia,HRV,2014,28.475935
Croatia,HRV,2015,22.67194
Croatia,HRV,2016,23.881334
Croatia,HRV,2017,20.280275
Croatia,HRV,2018,27.056107
Croatia,HRV,2019,24.222437
Croatia,HRV,2020,26.004786
Croatia,HRV,2021,29.736883
Croatia,HRV,2022,26.013306
Croatia,HRV,2023,31.566439
Czechia,CZE,1990,0.6279108
Czechia,CZE,1991,0.6470877
Czechia,CZE,1992,0.86247593
Czechia,CZE,1993,0.9614583
Czechia,CZE,1994,1.1625127
Czechia,CZE,1995,1.5213261
Czechia,CZE,1996,1.393759
Czechia,CZE,1997,1.446235
Czechia,CZE,1998,1.3689234
Czechia,CZE,1999,1.7020341
Czechia,CZE,2000,1.5951673
Czechia,CZE,2001,1.6955769
Czechia,CZE,2002,1.9760944
Czechia,CZE,2003,1.2228435
Czechia,CZE,2004,1.6074102
Czechia,CZE,2005,1.778649
Czechia,CZE,2006,1.9904531
Czechia,CZE,2007,1.9663903
Czechia,CZE,2008,2.3974464
Czechia,CZE,2009,3.2484796
Czechia,CZE,2010,3.8938859
Czechia,CZE,2011,4.9096026
Czechia,CZE,2012,5.3718815
Czechia,CZE,2013,6.2181935
Czechia,CZE,2014,6.416
Czechia,CZE,2015,6.6330338
Czechia,CZE,2016,6.700512
Czechia,CZE,2017,6.499982
Czechia,CZE,2018,6.3605146
Czechia,CZE,2019,6.9432154
Czechia,CZE,2020,7.7524385
Czechia,CZE,2021,7.481806
Czechia,CZE,2022,7.5352736
Czechia,CZE,2023,7.9845033
Denmark,DNK,1990,1.2664864
Denmark,DNK,1991,1.4587733
Denmark,DNK,1992,2.0408638
Denmark,DNK,1993,2.3619852
Denmark,DNK,1994,2.1321414
Denmark,DNK,1995,2.3133218
Denmark,DNK,1996,2.187726
Denmark,DNK,1997,3.3808842
Denmark,DNK,1998,4.675769
Denmark,DNK,1999,5.389067
Denmark,DNK,2000,7.0956717
Denmark,DNK,2001,7.4025145
Denmark,DNK,2002,8.58695
Denmark,DNK,2003,9.462797
Denmark,DNK,2004,11.729119
Denmark,DNK,2005,12.474308
Denmark,DNK,2006,10.684707
Denmark,DNK,2007,12.466456
Denmark,DNK,2008,12.62092
Denmark,DNK,2009,13.378912
Denmark,DNK,2010,15.567867
Denmark,DNK,2011,19.240635
Denmark,DNK,2012,22.003109
Denmark,DNK,2013,22.68556
Denmark,DNK,2014,26.237986
Denmark,DNK,2015,28.001373
Denmark,DNK,2016,26.942242
Denmark,DNK,2017,31.503704
Denmark,DNK,2018,30.349339
Denmark,DNK,2019,34.10149
Denmark,DNK,2020,38.468384
Denmark,DNK,2021,40.294327
Denmark,DNK,2022,41.246773
Denmark,DNK,2023,42.73486
Estonia,EST,1990,0
Estonia,EST,1991,0
Estonia,EST,1992,0
Estonia,EST,1993,0
Estonia,EST,1994,0
Estonia,EST,1995,0.030810123
Estonia,EST,1996,0.024178887
Estonia,EST,1997,0.039272036
Estonia,EST,1998,0.06566687
Estonia,EST,1999,0.09923462
Estonia,EST,2000,0.34300694
Estonia,EST,2001,0.15898865
Estonia,EST,2002,0.18508367
Estonia,EST,2003,0.21938756
Estonia,EST,2004,0.2892184
Estonia,EST,2005,0.5010425
Estonia,EST,2006,0.6115425
Estonia,EST,2007,0.59698224
Estonia,EST,2008,0.91512406
Estonia,EST,2009,2.8205373
Estonia,EST,2010,4.5134435
Estonia,EST,2011,5.002608
Estonia,EST,2012,6.1861205
Estonia,EST,2013,4.875871
Estonia,EST,2014,5.822954
Estonia,EST,2015,6.8995023
Estonia,EST,2016,6.7311354
Estonia,EST,2017,7.1341434
Estonia,EST,2018,8.032092
Estonia,EST,2019,10.686006
Estonia,EST,2020,15.784544
Estonia,EST,2021,14.641426
Estonia,EST,2022,13.766856
Estonia,EST,2023,15.521677
Finland,FIN,1990,15.025665
Finland,FIN,1991,16.623262
Finland,FIN,1992,18.345428
Finland,FIN,1993,17.708103
Finland,FIN,1994,15.905319
Finland,FIN,1995,17.83622
Finland,FIN,1996,15.512952
Finland,FIN,1997,17.436531
Finland,FIN,1998,20.417698
Finland,FIN,1999,18.097704
Finland,FIN,2000,19.816307
Finland,FIN,2001,17.827953
Finland,FIN,2002,16.364536
Finland,FIN,2003,14.705513
Finland,FIN,2004,19.619965
Finland,FIN,2005,19.669651
Finland,FIN,2006,17.648571
Finland,FIN,2007,18.949663
Finland,FIN,2008,22.497007
Finland,FIN,2009,19.203804
Finland,FIN,2010,19.707203
Finland,FIN,2011,21.06651
Finland,FIN,2012,25.105116
Finland,FIN,2013,22.765919
Finland,FIN,2014,24.830048
Finland,FIN,2015,28.261705
Finland,FIN,2016,26.694275
Finland,FIN,2017,28.758484
Finland,FIN,2018,28.735558
Finland,FIN,2019,29.32629
Finland,FIN,2020,33.45363
Finland,FIN,2021,35.85605
Finland,FIN,2022,35.68258
Finland,FIN,2023,35.936253
France,FRA,1990,6.241498
France,FRA,1991,6.2466106
France,FRA,1992,7.3756804
France,FRA,1993,6.9578476
France,FRA,1994,8.531402
France,FRA,1995,7.761339
France,FRA,1996,6.827265
France,FRA,1997,6.7619724
France,FRA,1998,6.4227214
France,FRA,1999,7.365318
France,FRA,2000,6.7216315
France,FRA,2001,7.4109597
France,FRA,2002,6.1641173
France,FRA,2003,5.9472837
France,FRA,2004,5.953116
France,FRA,2005,5.362479
France,FRA,2006,5.9662986
France,FRA,2007,6.631294
France,FRA,2008,7.6250157
France,FRA,2009,7.709266
France,FRA,2010,8.210716
France,FRA,2011,7.181137
France,FRA,2012,9.037564
France,FRA,2013,10.23553
France,FRA,2014,10.241491
France,FRA,2015,9.901025
France,FRA,2016,10.735397
France,FRA,2017,10.140911
France,FRA,2018,11.915838
France,FRA,2019,12.15705
France,FRA,2020,14.716146
France,FRA,2021,13.6294365
France,FRA,2022,14.591658
France,FRA,2023,16.940176
Germany,DEU,1990,1.3369406
Germany,DEU,1991,1.2709582
Germany,DEU,1992,1.520455
Germany,DEU,1993,1.5835444
Germany,DEU,1994,1.7396334
Germany,DEU,1995,1.8891901
Germany,DEU,1996,1.6823944
Germany,DEU,1997,1.8035166
Germany,DEU,1998,1.9705647
Germany,DEU,1999,2.2275858
Germany,DEU,2000,2.8871114
Germany,DEU,2001,2.9411676
Germany,DEU,2002,3.5386324
Germany,DEU,2003,3.6419902
Germany,DEU,2004,4.516598
Germany,DEU,2005,5.208511
Germany,DEU,2006,6.0263686
Germany,DEU,2007,7.6538005
Germany,DEU,2008,7.817749
Germany,DEU,2009,8.454232
Germany,DEU,2010,8.792499
Germany,DEU,2011,10.566928
Germany,DEU,2012,11.899734
Germany,DEU,2013,12.063284
Germany,DEU,2014,13.335284
Germany,DEU,2015,14.878483
Germany,DEU,2016,14.665688
Germany,DEU,2017,16.26483
Germany,DEU,2018,17.168362
Germany,DEU,2019,18.82998
Germany,DEU,2020,21.123863
Germany,DEU,2021,19.06692
Germany,DEU,2022,21.36138
Germany,DEU,2023,24.394201
Greece,GRC,1990,1.8226942
Greece,GRC,1991,3.1458595
Greece,GRC,1992,2.2052224
Greece,GRC,1993,2.2926166
Greece,GRC,1994,2.5512788
Greece,GRC,1995,3.3267493
Greece,GRC,1996,3.9930205
Greece,GRC,1997,3.4682534
Greece,GRC,1998,3.1564183
Greece,GRC,1999,3.9640613
Greece,GRC,2000,3.2847326
Greece,GRC,2001,2.296041
Greece,GRC,2002,2.7831924
Greece,GRC,2003,4.2976427
Greece,GRC,2004,4.2918515
Greece,GRC,2005,4.6005774
Greece,GRC,2006,5.44987
Greece,GRC,2007,3.3446171
Greece,GRC,2008,4.1339064
Greece,GRC,2009,5.996017
